Entidad,Municipio,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Oaxaca,Santa María Zoquitlán,0.9870000000000001,189.508,285.635,9214.622000000001,28.292,21.382,31.769000000000002
Oaxaca,Santa María del Rosario,0.10200000000000001,27.833000000000002,98.84899999999999,242.658,4.653,3.487,4.923
Oaxaca,Santa María del Tule,2.982,517.5939999999999,160.47299999999998,277.151,13.789,10.775,20.067
Oaxaca,Santa María la Asunción,0.6749999999999999,188.08900000000003,14.283999999999999,126.672,23.491,21.812,26.346
Oaxaca,Santiago Amoltepec,2.1109999999999998,590.2330000000001,434.76800000000003,2302.684,82.955,72.521,110.22500000000001
Oaxaca,Santiago Apoala,0.249,66.588,372.373,887.883,10.548,8.114999999999998,11.307
Oaxaca,Santiago Apóstol,1.359,268.84499999999997,134.32,316.853,32.707,26.232000000000003,21.362000000000002
Oaxaca,Santiago Astata,1.238,245.62099999999998,332.353,3240.332,26.769000000000002,23.112,14.233
Oaxaca,Santiago Atitlán,0.6599999999999999,176.659,381.53700000000003,955.114,26.3,21.553,45.564
Oaxaca,Santiago Ayuquililla,0.49799999999999994,131.252,342.526,1929.6280000000002,15.881,14.197,23.578
Oaxaca,Santiago Cacaloxtepec,0.278,68.393,206.316,562.909,6.098,5.635000000000001,7.05
Oaxaca,Santiago Camotlán,0.7809999999999999,201.873,124.346,17438.492000000002,32.809,25.391000000000002,52.497
Oaxaca,Santiago Chazumba,0.8410000000000001,217.596,1108.865,3568.8940000000002,27.024,23.164,55.393
Oaxaca,Santiago Choápam,1.1660000000000001,296.599,91.215,9973.655,45.477000000000004,37.445,59.955
Oaxaca,Santiago Comaltepec,0.2919999999999999,71.90299999999999,118.54,14564.887,9.459,7.656999999999998,15.578999999999999
Oaxaca,Santiago Huajolotitlán,1.004,208.70999999999998,427.043,1021.2339999999999,18.980999999999998,16.282,20.492
Oaxaca,Santiago Huauclilla,0.4019999999999999,42.123999999999995,74.398,4231.150000000001,8.607,5.823,8.075999999999997
Oaxaca,Santiago Ihuitlán Plumas,0.107,23.950999999999997,210.777,502.343,6.105,3.46,10.212000000000002
Oaxaca,Santiago Ixcuintepec,0.31299999999999994,84.95700000000001,36.562000000000005,638.284,13.07,10.549999999999999,23.051
Oaxaca,Santiago Ixtayutla,9.065000000000001,1357.884,641.746,1990.906,168.273,140.504,125.54599999999999
Oaxaca,Santiago Jamiltepec,5.615,1103.258,1026.691,18629.502999999997,150.68200000000002,114.92,162.42
Oaxaca,Santiago Jocotepec,2.982,754.155,1029.59,24874.29,115.962,94.385,146.90099999999998
Oaxaca,Santiago Juxtlahuaca,9.868,1869.847,1188.039,7792.188,200.536,175.70100000000002,182.65
Oaxaca,Santiago Lachiguiri,1.1989999999999998,305.74899999999997,129.584,8217.956999999999,50.519999999999996,38.15,121.023
Oaxaca,Santiago Lalopa,0.115,31.09,46.278,119.19999999999999,4.417,3.786,5.102
Oaxaca,Santiago Laollaga,0.867,203.72,409.22900000000004,7693.237999999999,24.873,18.395,17.311
Oaxaca,Santiago Laxopa,0.28,77.77699999999997,80.141,489.97400000000005,10.488999999999999,9.102,18.914
Oaxaca,Santiago Llano Grande,0.6049999999999999,141.59799999999998,354.937,2074.805,23.639,17.714,32.607
Oaxaca,Santiago Matatlán,3.3470000000000004,574.56,422.96299999999997,1022.5260000000001,51.895,45.064,48.111000000000004
Oaxaca,Santiago Miltepec,2.65,296.708,68.353,155.328,30.613,25.969,6.112
Oaxaca,Santiago Minas,0.402,92.393,191.181,455.698,16.205000000000002,12.049,23.634999999999998
Oaxaca,Santiago Nacaltepec,0.5690000000000001,137.132,98.51299999999999,1836.869,22.772,16.785999999999998,27.820999999999998
